?e  <isMarriedTo>  ?a  ?e  <hasChild>  ?b   => ?a  <hasChild>  ?b
?a  <isMarriedTo>  ?f  ?f  <hasChild>  ?b   => ?a  <hasChild>  ?b
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b
?a  <created>  ?b  ?a  <produced>  ?b   => ?a  <directed>  ?b
?a  <actedIn>  ?b  ?a  <created>  ?b   => ?a  <directed>  ?b
?a  <isMarriedTo>  ?c  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b
?a  <dealsWith>  ?f  ?f  <dealsWith>  ?b   => ?a  <dealsWith>  ?b
?c  <dealsWith>  ?b  ?a  <dealsWith>  ?c   => ?a  <dealsWith>  ?b
?e  <isMarriedTo>  ?a  ?e  <livesIn>  ?b   => ?a  <livesIn>  ?b
?a  <actedIn>  ?b  ?a  <created>  ?b   => ?a  <produced>  ?b
?a  <directed>  ?b   => ?a  <created>  ?b
?a  <livesIn>  ?f  ?f  <hasCapital>  ?b   => ?a  <livesIn>  ?b
?a  <livesIn>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <livesIn>  ?b
?a  <hasChild>  ?c  ?b  <hasChild>  ?c   => ?a  <isMarriedTo>  ?b
?a  <created>  ?b  ?a  <directed>  ?b   => ?a  <produced>  ?b
?c  <dealsWith>  ?a  ?c  <dealsWith>  ?b   => ?a  <dealsWith>  ?b
?c  <hasOfficialLanguage>  ?b  ?c  <isLocatedIn>  ?a   => ?a  <hasOfficialLanguage>  ?b
?b  <dealsWith>  ?a   => ?a  <dealsWith>  ?b
?b  <hasCapital>  ?f  ?a  <livesIn>  ?f   => ?a  <livesIn>  ?b
?c  <hasAcademicAdvisor>  ?a  ?c  <graduatedFrom>  ?b   => ?a  <worksAt>  ?b
?a  <imports>  ?b   => ?a  <exports>  ?b
?a  <produced>  ?b   => ?a  <directed>  ?b
?a  <dealsWith>  ?c  ?c  <imports>  ?b   => ?a  <imports>  ?b
?c  <isCitizenOf>  ?b  ?a  <influences>  ?c   => ?a  <isCitizenOf>  ?b
?a  <produced>  ?b   => ?a  <created>  ?b
?c  <dealsWith>  ?a  ?c  <imports>  ?b   => ?a  <imports>  ?b
?a  <worksAt>  ?b   => ?a  <graduatedFrom>  ?b
?a  <diedIn>  ?b   => ?a  <wasBornIn>  ?b
?a  <exports>  ?b   => ?a  <imports>  ?b
?c  <hasAcademicAdvisor>  ?a  ?c  <worksAt>  ?b   => ?a  <worksAt>  ?b
?c  <dealsWith>  ?a  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b
?a  <isCitizenOf>  ?c  ?c  <hasCapital>  ?b   => ?a  <wasBornIn>  ?b
?a  <dealsWith>  ?c  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b
?a  <hasAcademicAdvisor>  ?c  ?c  <worksAt>  ?b   => ?a  <worksAt>  ?b
?a  <dealsWith>  ?c  ?c  <exports>  ?b   => ?a  <imports>  ?b
?c  <isCitizenOf>  ?a  ?c  <diedIn>  ?b   => ?a  <hasCapital>  ?b
?a  <directed>  ?b   => ?a  <produced>  ?b
?c  <isCitizenOf>  ?a  ?c  <isLocatedIn>  ?b   => ?a  <hasCapital>  ?b
?c  <isCitizenOf>  ?a  ?c  <livesIn>  ?b   => ?a  <hasCapital>  ?b
?c  <dealsWith>  ?a  ?c  <imports>  ?b   => ?a  <exports>  ?b
?a  <livesIn>  ?b   => ?a  <wasBornIn>  ?b
?a  <isCitizenOf>  ?c  ?c  <hasCapital>  ?b   => ?a  <diedIn>  ?b
?a  <imports>  ?c  ?b  <exports>  ?c   => ?a  <dealsWith>  ?b
?a  <dealsWith>  ?c  ?c  <imports>  ?b   => ?a  <exports>  ?b
?e  <dealsWith>  ?a  ?e  <exports>  ?b   => ?a  <exports>  ?b
