Using Support as pruning metric with threshold 2
Loading files... 
  Starting yago2core.10kseedsSample.compressed.notypes.tsv
  Finished yago2core.10kseedsSample.compressed.notypes.tsv, still running: 0
Loaded 46654 facts in 0.40 s using -161 MB
Starting the mining phase... 
Using 16 threads
?a  <graduatedFrom>  ?b   => ?a  <worksAt>  ?b	0.00019291	0.09375	0.02439024	0.16071429	0.84823848	0.13632404	0.02068874	9	369	7.634146341463415	7.634146341463415	?a
?a  <exports>  ?b   => ?a  <imports>  ?b	0.00081451	0.16033755	0.10242588	0.12624585	0.18867925	0.02381997	0.01932564	38	371	7.169811320754715	7.169811320754715	?a
?b  <isLocatedIn>  ?a   => ?a  <hasCapital>  ?b	0.0006216	0.09731544	0.00435828	0.02367347	0.81590021	0.01931519	0.00355592	29	6654	23.661106101593028	23.661106101593028	?a
?a  <imports>  ?b   => ?a  <exports>  ?b	0.00081451	0.10242588	0.16033755	0.17924528	0.10548523	0.01890773	0.01691324	38	237	4.008438818565402	4.008438818565402	?b
?a  <livesIn>  ?b   => ?a  <isPoliticianOf>  ?b	0.00012861	0.15789474	0.01268499	0.33333333	0.96194503	0.32064834	0.01220226	6	473	5.7716701902748415	5.7716701902748415	?a
?a  <livesIn>  ?b   => ?a  <isLeaderOf>  ?b	0.00010717	0.02840909	0.01057082	0.25	0.9577167	0.23942918	0.01012386	5	473	4.788583509513742	4.788583509513742	?b
?a  <wasBornIn>  ?b   => ?a  <isLeaderOf>  ?b	0.00010717	0.02840909	0.00273823	0.15151515	0.98192771	0.14877693	0.00268874	5	1826	4.909638554216867	4.909638554216867	?b
?a  <worksAt>  ?b   => ?a  <graduatedFrom>  ?b	0.00019291	0.02439024	0.09375	0.16071429	0.41666667	0.06696429	0.0390625	9	96	3.7499999999999996	3.7499999999999996	?a
?a  <isPoliticianOf>  ?b   => ?a  <livesIn>  ?b	0.00012861	0.01268499	0.15789474	0.5	0.68421053	0.34210526	0.10803324	6	38	4.105263157894737	4.105263157894737	?a
?a  <isLeaderOf>  ?b   => ?a  <livesIn>  ?b	0.00010717	0.01057082	0.02840909	0.27777778	0.89772727	0.24936869	0.02550362	5	176	4.488636363636363	4.488636363636363	?a
?a  <wasBornIn>  ?b   => ?a  <livesIn>  ?b	0.0006216	0.06131078	0.01588171	0.26851852	0.94085433	0.25263681	0.01494237	29	1826	27.28477546549836	27.28477546549836	?a
?a  <isCitizenOf>  ?b   => ?a  <livesIn>  ?b	0.00047156	0.04651163	0.05104408	0.48888889	0.89559165	0.43784481	0.04571465	22	431	19.703016241299302	19.703016241299302	?a
?a  <diedIn>  ?b   => ?a  <livesIn>  ?b	0.00027865	0.02748414	0.0171278	0.5	0.9657444	0.4828722	0.01654108	13	759	12.554677206851121	12.554677206851121	?a
?b  <dealsWith>  ?a   => ?a  <dealsWith>  ?b	0.00167188	0.15	0.15	0.24605678	0.39038462	0.09605678	0.05855769	78	520	30.449999999999996	30.449999999999996	?b
?a  <actedIn>  ?b   => ?a  <produced>  ?b	0.00128606	0.0974026	0.0121976	0.37974684	0.96787965	0.36754923	0.01180581	60	4919	58.07277902012604	58.07277902012604	?b
?a  <directed>  ?b   => ?a  <produced>  ?b	0.00141467	0.10714286	0.07043757	0.825	0.91462113	0.75456243	0.06442369	66	937	60.3649946638207	60.3649946638207	?b
?a  <created>  ?b   => ?a  <produced>  ?b	0.00180049	0.13636364	0.0086741	0.76363636	0.98864106	0.75496226	0.00857557	84	9684	83.04584882280051	83.04584882280051	?b
?a  <livesIn>  ?b   => ?a  <isCitizenOf>  ?b	0.00047156	0.05104408	0.04651163	0.33333333	0.86046512	0.28682171	0.04002163	22	473	18.930232558139533	18.930232558139533	?a
?a  <livesIn>  ?b   => ?a  <diedIn>  ?b	0.00027865	0.0171278	0.02748414	0.36111111	0.92389006	0.33362697	0.02539233	13	473	12.010570824524313	12.010570824524313	?a
?a  <isLocatedIn>  ?b   => ?a  <diedIn>  ?b	0.00010717	0.00658762	0.00075143	0.125	0.99398858	0.12424857	0.00074691	5	6654	4.969942891493838	4.969942891493838	?a
?a  <wasBornIn>  ?b   => ?a  <diedIn>  ?b	0.00139324	0.085639	0.03559693	0.22260274	0.84008762	0.18700581	0.02990454	65	1826	54.60569550930997	54.60569550930997	?a
?a  <created>  ?b   => ?a  <isKnownFor>  ?b	0.00017148	0.03007519	0.0008261	1	0.9991739	0.9991739	0.00082542	8	9684	7.993391160677406	7.993391160677406	?b
?e  <influences>  ?a  ?e  <isInterestedIn>  ?b   => ?a  <isInterestedIn>  ?b	0.00004287	0.03448276	0.00487805	0.00487805	1	0.00487805	0.00487805	2	410	2.0	2.0	?b
?a  <dealsWith>  ?f  ?f  <hasCurrency>  ?b   => ?a  <hasCurrency>  ?b	0.0000643	0.03	0.01415094	0.03191489	0.55660377	0.01776395	0.00787647	3	212	1.669811320754717	1.669811320754717	?a
?a  <created>  ?b   => ?a  <directed>  ?b	0.00475843	0.23692636	0.02292441	0.88446215	0.97408096	0.86153774	0.02233023	222	9684	216.2459727385378	216.2459727385378	?b
?a  <produced>  ?b   => ?a  <directed>  ?b	0.00141467	0.07043757	0.10714286	0.79518072	0.86525974	0.68803787	0.0927064	66	616	57.10714285714286	57.10714285714286	?b
?a  <actedIn>  ?b   => ?a  <directed>  ?b	0.00128606	0.06403415	0.0121976	0.3	0.95934133	0.2878024	0.01170166	60	4919	57.560479772311446	57.560479772311446	?b
?e  <isInterestedIn>  ?b  ?a  <influences>  ?e   => ?a  <isInterestedIn>  ?b	0.00004287	0.03448276	0.01492537	0.01492537	1	0.01492537	0.01492537	2	134	2.0	2.0	?b
?a  <isLeaderOf>  ?b   => ?a  <wasBornIn>  ?b	0.00010717	0.00273823	0.02840909	0.23809524	0.88068182	0.20968615	0.02501937	5	176	4.403409090909091	4.403409090909091	?a
?a  <livesIn>  ?b   => ?a  <wasBornIn>  ?b	0.0006216	0.01588171	0.06131078	0.19205298	0.6807611	0.1307422	0.041738	29	473	19.742071881606762	19.742071881606762	?a
?a  <diedIn>  ?b   => ?a  <wasBornIn>  ?b	0.00139324	0.03559693	0.085639	0.22260274	0.61528327	0.13696374	0.05269224	65	759	39.99341238471673	39.99341238471673	?a
?a  <directed>  ?b   => ?a  <actedIn>  ?b	0.00128606	0.0121976	0.06403415	0.34090909	0.81216649	0.27687494	0.05200639	60	937	48.729989327641405	48.729989327641405	?b
?a  <produced>  ?b   => ?a  <actedIn>  ?b	0.00128606	0.0121976	0.0974026	0.43165468	0.77435065	0.33425208	0.07542376	60	616	46.46103896103896	46.46103896103896	?b
?a  <created>  ?b   => ?a  <actedIn>  ?b	0.00154328	0.01463712	0.00743494	0.30638298	0.97573317	0.29894803	0.00725452	72	9684	70.25278810408922	70.25278810408922	?b
?e  <hasCurrency>  ?b  ?e  <dealsWith>  ?a   => ?a  <hasCurrency>  ?b	0.00008574	0.04	0.01960784	0.04494382	0.56372549	0.02533598	0.01105344	4	204	2.2549019607843137	2.2549019607843137	?a
?b  <hasChild>  ?a   => ?a  <hasChild>  ?b	0.00030008	0.00511696	0.00511696	0.01126307	0.54568713	0.00614611	0.00279226	14	2736	7.639619883040935	7.639619883040935	?b
?b  <isMarriedTo>  ?a   => ?a  <hasChild>  ?b	0.00042869	0.00730994	0.0119976	0.03663004	0.67246551	0.02463244	0.00806797	20	1667	13.449310137972406	13.449310137972406	?b
?a  <isMarriedTo>  ?b   => ?a  <hasChild>  ?b	0.00064303	0.01096491	0.0179964	0.05928854	0.69646071	0.04129214	0.01253379	30	1667	20.893821235752853	20.893821235752853	?b
?b  <influences>  ?a   => ?a  <influences>  ?b	0.00025721	0.00426439	0.00426439	0.00484066	0.11904762	0.00057627	0.00050767	12	2814	1.4285714285714288	1.4285714285714288	?b
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	0.01599005	0.4475105	0.4475105	0.9130967	0.50989802	0.4655862	0.22818472	746	1667	380.3839232153569	380.3839232153569	?b
?b  <hasChild>  ?a   => ?a  <isMarriedTo>  ?b	0.00042869	0.0119976	0.00730994	0.01762115	0.58516082	0.0103112	0.00427749	20	2736	11.703216374269005	11.703216374269005	?b
?a  <hasChild>  ?b   => ?a  <isMarriedTo>  ?b	0.00064303	0.0179964	0.01096491	0.04934211	0.77777778	0.03837719	0.00852827	30	2736	23.333333333333332	23.333333333333332	?b
?a  <isKnownFor>  ?b   => ?a  <created>  ?b	0.00017148	0.0008261	0.03007519	1	0.96992481	0.96992481	0.02917067	8	266	7.7593984962406015	7.7593984962406015	?b
?a  <produced>  ?b   => ?a  <created>  ?b	0.00180049	0.0086741	0.13636364	0.76363636	0.82142857	0.62727273	0.11201299	84	616	69.0	69.0	?b
?a  <directed>  ?b   => ?a  <created>  ?b	0.00475843	0.02292441	0.23692636	0.92887029	0.74493063	0.69194393	0.1764937	222	937	165.37459978655284	165.37459978655284	?b
?a  <actedIn>  ?b   => ?a  <created>  ?b	0.00154328	0.00743494	0.01463712	0.28235294	0.9481602	0.26771582	0.01387834	72	4919	68.26753405163652	68.26753405163652	?b
?b  <hasCapital>  ?a   => ?a  <isLocatedIn>  ?b	0.0006216	0.00435828	0.09731544	0.47540984	0.79530201	0.3780944	0.07739516	29	298	23.063758389261746	23.063758389261746	?a
?a  <diedIn>  ?b   => ?a  <isLocatedIn>  ?b	0.00010717	0.00075143	0.00658762	0.125	0.94729908	0.11841238	0.00624044	5	759	4.736495388669302	4.736495388669302	?a
?a  <livesIn>  ?f  ?b  <isLocatedIn>  ?f   => ?a  <worksAt>  ?b	0.00004287	0.02083333	0.00082001	0.01315789	0.93767938	0.01233789	0.0007689	2	2439	1.8753587535875356	1.8753587535875356	?a
?a  <hasAcademicAdvisor>  ?f  ?f  <worksAt>  ?b   => ?a  <worksAt>  ?b	0.00008574	0.04166667	0.15384615	0.33333333	0.53846154	0.17948718	0.08284024	4	26	2.1538461538461537	2.1538461538461537	?a
?e  <worksAt>  ?b  ?e  <hasAcademicAdvisor>  ?a   => ?a  <worksAt>  ?b	0.00008574	0.04166667	0.09756098	0.33333333	0.70731707	0.23577236	0.06900654	4	41	2.8292682926829267	2.8292682926829267	?a
?a  <dealsWith>  ?f  ?f  <exports>  ?b   => ?a  <imports>  ?b	0.00115746	0.2278481	0.06818182	0.09981516	0.31691919	0.03163334	0.02160813	54	792	17.113636363636363	17.113636363636363	?a
?a  <dealsWith>  ?f  ?f  <imports>  ?b   => ?a  <imports>  ?b	0.00160758	0.3164557	0.09505703	0.14231499	0.33206591	0.04725796	0.0315652	75	789	24.904942965779465	24.904942965779465	?a
?e  <dealsWith>  ?a  ?e  <exports>  ?b   => ?a  <imports>  ?b	0.0007502	0.14767932	0.03216912	0.0488145	0.34099265	0.01664539	0.01096943	35	1088	11.934742647058822	11.934742647058822	?a
?e  <dealsWith>  ?a  ?e  <imports>  ?b   => ?a  <imports>  ?b	0.00113602	0.22362869	0.09137931	0.13874346	0.34137931	0.04736415	0.03119501	53	580	18.093103448275862	18.093103448275862	?a
?b  <participatedIn>  ?f  ?a  <participatedIn>  ?f   => ?a  <hasCapital>  ?b	0.00004287	0.00671141	0.00066401	0.00091199	0.27191235	0.00024798	0.00018055	2	3012	0.543824701195219	0.543824701195219	?a
?e  <livesIn>  ?a  ?e  <wasBornIn>  ?b   => ?a  <hasCapital>  ?b	0.0000643	0.01006711	0.02054795	0.10344828	0.80136986	0.08290033	0.0164665	3	146	2.404109589041096	2.404109589041096	?a
?e  <livesIn>  ?a  ?e  <livesIn>  ?b   => ?a  <hasCapital>  ?b	0.00032152	0.05033557	0.02640845	0.13761468	0.80809859	0.11120623	0.02134063	15	568	12.121478873239436	12.121478873239436	?a
