?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	<Isetnofret>	<isMarriedTo>	<Ramesses_II>	TargetSource	True
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	<John_Tesh>	<isMarriedTo>	<Connie_Sellecca>	TargetSource	True
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	<Tey>	<isMarriedTo>	<Ay>	TargetSource	True
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	<Eric_X_of_Sweden>	<isMarriedTo>	<Richeza_of_Denmark>	TargetSource	True
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	<James_II_of_Scotland>	<isMarriedTo>	<Mary_of_Guelders>	TargetSource	True
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	<Terrence_O'Hara>	<isMarriedTo>	<Shanna_Reed>	TargetSource	True
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	<Lenny_Kravitz>	<isMarriedTo>	<Lisa_Bonet>	TargetSource	True
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	<Linus_Pauling>	<isMarriedTo>	<Ava_Helen_Pauling>	TargetSource	True
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	<Dorothy_de_Rothschild>	<isMarriedTo>	<James_Armand_de_Rothschild>	TargetSource	True
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	<Louis_IX,_Landgrave_of_Hesse-Darmstadt>	<isMarriedTo>	<Countess_Palatine_Caroline_of_Zweibrücken>	TargetSource	True
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	<Carlo_Buonaparte>	<isMarriedTo>	<Letizia_Ramolino>	TargetSource	True
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	<Mary_Alice_Tieche_Smith>	<isMarriedTo>	<Hulett_C._Smith>	TargetSource	True
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	<Kamehameha_I>	<isMarriedTo>	<KeMpkolani>	TargetSource	True
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	<Benni_Korzen>	<isMarriedTo>	<Annie_Korzen>	TargetSource	True
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	<Prince_Karl_Emich_of_Leiningen>	<isMarriedTo>	<Inaara_Aga_Khan>	TargetSource	True
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	<Craig_Montgomery>	<isMarriedTo>	<Sierra_Esteban>	TargetSource	True
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	<Susan_Yeagley>	<isMarriedTo>	<Kevin_Nealon>	TargetSource	True
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	<Guðrún_Katrín_Þorbergsdóttir>	<isMarriedTo>	<Ólafur_Ragnar_Grímsson>	TargetSource	True
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	<Charles_VIII_of_Sweden>	<isMarriedTo>	<Christina_Abrahamsdotter>	TargetSource	True
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	<Sandra_Denton>	<isMarriedTo>	<Treach>	TargetSource	True
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	<Dorothea_of_Brandenburg>	<isMarriedTo>	<Christopher_of_Bavaria>	TargetSource	True
?a  <isMarriedTo>  ?c  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	<Daniel_Romalotti>	<livesIn>	<Genoa_City_(fictional_city)>	TargetSource	True
?a  <isMarriedTo>  ?c  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	<Nicholas_Newman>	<livesIn>	<Wisconsin>	TargetSource	True
?c  <isMarriedTo>  ?a  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	<Christine_Elliott>	<livesIn>	<Whitby,_Ontario>	TargetSource	True
?c  <isMarriedTo>  ?a  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	<Billie_Reed>	<livesIn>	<Salem_(Days_of_our_Lives)>	TargetSource	True
?c  <isMarriedTo>  ?a  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	<Jeri_Kehn_Thompson>	<livesIn>	<McLean,_Virginia>	TargetSource	True
?a  <directed>  ?b   => ?a  <created>  ?b	<Alex_Kendrick>	<created>	<Fireproof_(film)>	TargetSource	True
?a  <hasChild>  ?c  ?b  <hasChild>  ?c   => ?a  <isMarriedTo>  ?b	<James_I_of_Aragon>	<isMarriedTo>	<Violant_of_Hungary>	TargetSource	True
?a  <hasChild>  ?c  ?b  <hasChild>  ?c   => ?a  <isMarriedTo>  ?b	<Chiang_Kai-shek>	<isMarriedTo>	<Mao_Fumei>	TargetSource	True
