Using HeadCoverage as pruning metric with threshold 0.01
Loading files... 
  Starting yago2core.decoded.compressed.notypes.tsv
  Finished yago2core.decoded.compressed.notypes.tsv, still running: 0
Loaded 948044 facts in 10.46 s using 309 MB
Starting the mining phase... 
Using 16 threads
?a  <playsFor>  <Port_Vale_F.C.>   => ?a  <playsFor>  <Stoke_City_F.C.>	0.00006751	0.01522722	0.07757576	0.07757576	0	0	0	64	825	0.0	0.0	?a
?a  <hasMusicalRole>  <wordnet_piano_103928116>   => ?a  <hasMusicalRole>  <wordnet_harmonica_103494278>	0.00011919	0.01124154	0.08502634	0.08502634	0	0	0	113	1329	0.0	0.0	?a
?a  <hasMusicalRole>  <wordnet_guitar_103467517>   => ?a  <hasMusicalRole>  <wordnet_mandolin_103716966>	0.00011919	0.01124154	0.04270597	0.04270597	0	0	0	113	2646	0.0	0.0	?a
?a  <hasMusicalRole>  <wordnet_guitar_103467517>   => ?a  <hasMusicalRole>  <wordnet_bass_guitar_102804123>	0.00023944	0.02258257	0.08578987	0.08578987	0	0	0	227	2646	0.0	0.0	?a
?a  <hasMusicalRole>  <wordnet_guitar_103467517>   => ?a  <hasMusicalRole>  <wordnet_singing_100545501>	0.00015295	0.01442499	0.0547997	0.0547997	0	0	0	145	2646	0.0	0.0	?a
?a  <hasMusicalRole>  <wordnet_piano_103928116>   => ?a  <hasMusicalRole>  <wordnet_harmonica_103494278>	0.00011919	0.01124154	0.08502634	0.08502634	0	0	0	113	1329	0.0	0.0	?a
?a  <hasMusicalRole>  <wordnet_guitar_103467517>   => ?a  <hasMusicalRole>  <wordnet_drum_103249569>	0.00017299	0.01631516	0.06198035	0.06198035	0	0	0	164	2646	0.0	0.0	?a
?a  <hasMusicalRole>  <wordnet_guitar_103467517>   => ?a  <hasMusicalRole>  <wordnet_drum_103249569>	0.00017299	0.01631516	0.06198035	0.06198035	0	0	0	164	2646	0.0	0.0	?a
?a  <hasMusicalRole>  <wordnet_guitar_103467517>   => ?a  <hasMusicalRole>  <wordnet_harmonica_103494278>	0.00022995	0.02168723	0.08238851	0.08238851	0	0	0	218	2646	0.0	0.0	?a
?a  <hasMusicalRole>  <wordnet_guitar_103467517>   => ?a  <hasMusicalRole>  <wordnet_percussion_100545059>	0.00013185	0.01243534	0.04724112	0.04724112	0	0	0	125	2646	0.0	0.0	?a
?a  <hasMusicalRole>  <wordnet_guitar_103467517>   => ?a  <hasMusicalRole>  <wordnet_violin_104536866>	0.00011814	0.01114206	0.04232804	0.04232804	0	0	0	112	2646	0.0	0.0	?a
?a  <hasMusicalRole>  <wordnet_piano_103928116>   => ?a  <hasMusicalRole>  <wordnet_vocal_music_107282006>	0.00013712	0.01293275	0.09781791	0.09781791	0	0	0	130	1329	0.0	0.0	?a
