?a  <isLeaderOf>  ?b  ?a  <wasBornIn>  ?b   => ?a  <livesIn>  ?b	3
?a  <wasBornIn>  ?b  ?a  <diedIn>  ?b   => ?a  <livesIn>  ?b	62
?a  <worksAt>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <livesIn>  ?b	3
?a  <hasAcademicAdvisor>  ?f  ?f  <livesIn>  ?b   => ?a  <livesIn>  ?b	9
?e  <hasAcademicAdvisor>  ?a  ?e  <livesIn>  ?b   => ?a  <livesIn>  ?b	15
?a  <livesIn>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	150
?a  <hasChild>  ?f  ?f  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	12
?e  <hasChild>  ?a  ?e  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	27
?e  <livesIn>  ?a  ?e  <isPoliticianOf>  ?b   => ?a  <isLocatedIn>  ?b	4
?a  <isLocatedIn>  ?f  ?f  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	2456
?a  <diedIn>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	412
?e  <diedIn>  ?a  ?e  <isPoliticianOf>  ?b   => ?a  <isLocatedIn>  ?b	5
?a  <wasBornIn>  ?f  ?b  <hasCapital>  ?f   => ?a  <isCitizenOf>  ?b	425
?a  <wasBornIn>  ?b  ?a  <livesIn>  ?b   => ?a  <diedIn>  ?b	26
?e  <isMarriedTo>  ?a  ?e  <hasWonPrize>  ?b   => ?a  <hasWonPrize>  ?b	84
?a  <livesIn>  ?b  ?a  <diedIn>  ?b   => ?a  <wasBornIn>  ?b	10
?a  <hasChild>  ?f  ?f  <livesIn>  ?b   => ?a  <livesIn>  ?b	54
?a  <wasBornIn>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	993
?e  <wasBornIn>  ?a  ?e  <isPoliticianOf>  ?b   => ?a  <isLocatedIn>  ?b	6
?a  <hasChild>  ?f  ?f  <hasWonPrize>  ?b   => ?a  <hasWonPrize>  ?b	19
?a  <wasBornIn>  ?b  ?a  <livesIn>  ?b   => ?a  <isLeaderOf>  ?b	27
?e  <hasChild>  ?a  ?e  <isKnownFor>  ?b   => ?a  <isCitizenOf>  ?b	48
?e  <hasCapital>  ?a  ?e  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	235
?e  <isLocatedIn>  ?a  ?e  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	54
?a  <influences>  ?f  ?f  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	32
