?b  <isMarriedTo>  ?a  ?a  rdf:type  <wordnet_person_100007846>  ?b  rdf:type  <wordnet_person_100007846>   => ?a  <isMarriedTo>  ?b
?f  <isLocatedIn>  ?b  ?a  <livesIn>  ?f  ?b  rdf:type  <wordnet_administrative_district_108491826>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <isPoliticianOf>  ?b
?a  <diedIn>  ?f  ?f  <isLocatedIn>  ?b  ?b  rdf:type  <wordnet_administrative_district_108491826>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <isPoliticianOf>  ?b
?f  <hasOfficialLanguage>  ?b  ?a  <isLocatedIn>  ?f  ?b  rdf:type  <wordnet_language_106282651>  ?a  rdf:type  <wordnet_location_100027167>   => ?a  <hasOfficialLanguage>  ?b
?f  <isLocatedIn>  ?b  ?a  <livesIn>  ?f  ?b  rdf:type  <wordnet_country_108544813>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <isCitizenOf>  ?b
?f  <isLocatedIn>  ?b  ?a  <isLocatedIn>  ?f  ?b  rdf:type  <wordnet_country_108544813>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <isCitizenOf>  ?b
?f  <isLocatedIn>  ?b  ?a  <wasBornIn>  ?f  ?b  rdf:type  <wordnet_country_108544813>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <isCitizenOf>  ?b
?a  <diedIn>  ?f  ?f  <isLocatedIn>  ?b  ?b  rdf:type  <wordnet_country_108544813>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <isCitizenOf>  ?b
?a  <livesIn>  ?b  ?b  rdf:type  <wordnet_country_108544813>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <isCitizenOf>  ?b
?e  <hasOfficialLanguage>  ?b  ?e  <isLocatedIn>  ?a  ?b  rdf:type  <wordnet_language_106282651>  ?a  rdf:type  <wordnet_location_100027167>   => ?a  <hasOfficialLanguage>  ?b
?a  <isMarriedTo>  ?f  ?f  <livesIn>  ?b  ?b  rdf:type  <wordnet_location_100027167>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <livesIn>  ?b
?e  <isMarriedTo>  ?a  ?e  <livesIn>  ?b  ?b  rdf:type  <wordnet_location_100027167>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <livesIn>  ?b
?f  <hasChild>  ?b  ?a  <isMarriedTo>  ?f  ?a  rdf:type  <wordnet_person_100007846>  ?b  rdf:type  <wordnet_person_100007846>   => ?a  <hasChild>  ?b
?a  <livesIn>  ?b  ?b  rdf:type  <wordnet_city_108524735>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <diedIn>  ?b
?f  <isLocatedIn>  ?b  ?a  <wasBornIn>  ?f  ?b  rdf:type  <wordnet_administrative_district_108491826>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <isPoliticianOf>  ?b
?e  <hasChild>  ?b  ?e  <isMarriedTo>  ?a  ?a  rdf:type  <wordnet_person_100007846>  ?b  rdf:type  <wordnet_person_100007846>   => ?a  <hasChild>  ?b
?a  <isCitizenOf>  ?b  ?b  rdf:type  <wordnet_location_100027167>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <livesIn>  ?b
?a  <influences>  ?f  ?f  <isCitizenOf>  ?b  ?b  rdf:type  <wordnet_country_108544813>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <isCitizenOf>  ?b
?a  <diedIn>  ?b  ?b  rdf:type  <wordnet_location_100027167>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <livesIn>  ?b
?a  <diedIn>  ?f  ?f  <isLocatedIn>  ?b  ?b  rdf:type  <wordnet_location_100027167>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <livesIn>  ?b
?a  <hasChild>  ?f  ?b  <hasChild>  ?f  ?a  rdf:type  <wordnet_person_100007846>  ?b  rdf:type  <wordnet_person_100007846>   => ?a  <isMarriedTo>  ?b
?f  <hasCapital>  ?b  ?a  <isCitizenOf>  ?f  ?b  rdf:type  <wordnet_city_108524735>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <diedIn>  ?b
?a  <created>  ?b  ?a  rdf:type  <yagoLegalActor>  ?b  rdf:type  owl:Thing   => ?a  <isKnownFor>  ?b
?e  <graduatedFrom>  ?b  ?e  <hasAcademicAdvisor>  ?a  ?b  rdf:type  <wordnet_organization_108008335>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <worksAt>  ?b
?a  <diedIn>  ?f  ?b  <hasCapital>  ?f  ?b  rdf:type  <wordnet_administrative_district_108491826>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <isPoliticianOf>  ?b
?a  <directed>  ?b  ?a  rdf:type  <yagoLegalActor>  ?b  rdf:type  owl:Thing   => ?a  <created>  ?b
?a  <livesIn>  ?b  ?b  rdf:type  <wordnet_administrative_district_108491826>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <isPoliticianOf>  ?b
?f  <dealsWith>  ?b  ?a  <dealsWith>  ?f  ?a  rdf:type  <wordnet_country_108544813>  ?b  rdf:type  <wordnet_country_108544813>   => ?a  <dealsWith>  ?b
?a  <livesIn>  ?b  ?b  rdf:type  <wordnet_city_108524735>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <wasBornIn>  ?b
?f  <hasCapital>  ?b  ?a  <isCitizenOf>  ?f  ?b  rdf:type  <wordnet_city_108524735>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <wasBornIn>  ?b
?e  <isLeaderOf>  ?a  ?e  <wasBornIn>  ?b  ?b  rdf:type  <wordnet_city_108524735>  ?a  rdf:type  <wordnet_region_108630985>   => ?a  <hasCapital>  ?b
?b  <hasCapital>  ?f  ?a  <livesIn>  ?f  ?b  rdf:type  <wordnet_country_108544813>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <isCitizenOf>  ?b
?b  <hasCapital>  ?f  ?a  <wasBornIn>  ?f  ?b  rdf:type  <wordnet_country_108544813>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <isCitizenOf>  ?b
?a  <created>  ?b  ?b  rdf:type  <wordnet_movie_106613686>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <directed>  ?b
?a  <wasBornIn>  ?b  ?b  rdf:type  <wordnet_location_100027167>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <livesIn>  ?b
?a  <wasBornIn>  ?b  ?b  rdf:type  <wordnet_city_108524735>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <diedIn>  ?b
?a  <diedIn>  ?b  ?b  rdf:type  <wordnet_city_108524735>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <wasBornIn>  ?b
