?b  <isLocatedIn>  ?a  ?a  rdf:type  <wordnet_location_100027167>  ?b  rdf:type  <wordnet_location_100027167>   => ?a  <hasCapital>  ?b	0.000037376	0.047192072	0.00242636	0.004039914	100	41214	24753	?a	0.0	0.0	0.0	0.0	0.0	798.0
?a  <isLeaderOf>  ?b  ?b  rdf:type  <wordnet_location_100027167>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <livesIn>  ?b	0.000044103	0.008086069	0.048261759	0.254310345	118	2445	464	?a	0.0	0.0	0.0	0.0	0.0	49.0
?a  <isCitizenOf>  ?b  ?b  rdf:type  <wordnet_location_100027167>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <livesIn>  ?b	0.00022388	0.041047077	0.045676376	0.526824978	599	13114	1137	?a	0.0	0.0	0.0	0.0	0.0	1799.0
?a  <diedIn>  ?b  ?b  rdf:type  <wordnet_location_100027167>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <livesIn>  ?b	0.000081479	0.014938669	0.013119884	0.444897959	218	16616	490	?a	0.0	0.0	0.0	0.0	0.0	1826.0
?a  <wasBornIn>  ?b  ?b  rdf:type  <wordnet_location_100027167>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <livesIn>  ?b	0.000210424	0.038580141	0.013811884	0.221653543	563	40762	2540	?a	0.0	0.0	0.0	0.0	0.0	251.0
?b  <dealsWith>  ?a  ?a  rdf:type  <wordnet_location_100027167>  ?b  rdf:type  <wordnet_location_100027167>   => ?a  <dealsWith>  ?b	0.000035133	0.136429608	0.142640364	0.183235867	94	659	513	?a	0.0	0.0	0.0	0.0	0.0	1.0
?a  <graduatedFrom>  ?b  ?b  rdf:type  <wordnet_organization_108008335>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <worksAt>  ?b	0.000022799	0.025041051	0.022311631	0.140552995	61	2734	434	?a	0.0	0.0	0.0	0.0	0.0	23.0
?a  <livesIn>  ?b  ?b  rdf:type  <wordnet_city_108524735>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <diedIn>  ?b	0.000079984	0.009658783	0.045746045	0.652439024	214	4678	328	?a	0.0	0.0	0.0	0.0	0.0	34.0
?a  <isLocatedIn>  ?b  ?b  rdf:type  <wordnet_city_108524735>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <diedIn>  ?b	0.000077741	0.009387976	0.044769694	0.275132275	208	4646	756	?a	0.0	0.0	0.0	0.0	0.0	69.0
?a  <wasBornIn>  ?b  ?b  rdf:type  <wordnet_city_108524735>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <diedIn>  ?b	0.000547552	0.066122044	0.036412895	0.226219889	1465	40233	6476	?a	0.0	0.0	0.0	0.0	0.0	217.0
?a  <livesIn>  ?b  ?b  rdf:type  <wikicategory_States_of_the_United_States>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <isPoliticianOf>  ?b	0.000001121	0.002054795	0.005016722	0.75	3	598	4	?a	0.0	0.0	0.0	0.0	0.0	2.0
?b  <influences>  ?a  ?a  rdf:type  <wordnet_person_100007846>  ?b  rdf:type  <wordnet_person_100007846>   => ?a  <hasAcademicAdvisor>  ?b	0.000010465	0.014381099	0.00257566	0.111111111	28	10871	252	?a	0.0	0.0	0.0	0.0	0.0	19.0
?a  <livesIn>  ?b  ?b  rdf:type  <wordnet_country_108544813>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <isCitizenOf>  ?b	0.00022388	0.041111874	0.157465825	0.691685912	599	3804	866	?a	0.0	0.0	0.0	0.0	0.0	12.0
?a  <directed>  ?b   => ?a  <produced>  ?b	0.000848799	0.112559477	0.067845726	0.161890505	2271	33473	14028	?b	0.0	0.0	0.0	0.0	0.0	5.0
?a  <created>  ?b   => ?a  <produced>  ?b	0.00075835	0.100565028	0.010136992	0.129698287	2029	200158	15644	?b	0.0	0.0	0.0	0.0	0.0	43.0
?a  <actedIn>  ?b   => ?a  <produced>  ?b	0.000325915	0.043219667	0.008105973	0.018125883	872	107575	48108	?b	0.0	0.0	0.0	0.0	0.0	13.0
?a  <livesIn>  ?b  ?b  rdf:type  <wordnet_city_108524735>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <wasBornIn>  ?b	0.000209677	0.01002448	0.119923044	0.311839911	561	4678	1799	?a	0.0	0.0	0.0	0.0	0.0	38.0
?a  <diedIn>  ?b  ?b  rdf:type  <wordnet_city_108524735>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <wasBornIn>  ?b	0.000547552	0.02617801	0.089525788	0.227026189	1465	16364	6453	?a	0.0	0.0	0.0	0.0	0.0	96.0
?b  <isMarriedTo>  ?a  ?a  rdf:type  <wordnet_person_100007846>  ?b  rdf:type  <wordnet_person_100007846>   => ?a  <isMarriedTo>  ?b	0.002056404	0.458767614	0.713711247	0.954876779	5502	7709	5762	?b	0.0	0.0	0.0	0.0	0.0	50.0
?a  <produced>  ?b  ?b  rdf:type  <wordnet_movie_106613686>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <directed>  ?b	0.000000374	0.000029875	0.125	0.142857143	1	8	7	?b	0.0	0.0	0.0	0.0	0.0	0.0
?a  <created>  ?b  ?a  rdf:type  <yagoLegalActor>  ?b  rdf:type  owl:Thing   => ?a  <isKnownFor>  ?b	0.000019062	0.008676421	0.016617791	0.337748344	51	3069	151	?b	0.0	0.0	0.0	0.0	0.0	205.0
?a  <created>  ?b  ?b  rdf:type  <wordnet_movie_106613686>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <directed>  ?b	0.000002616	0.000209124	0.24137931	0.388888889	7	29	18	?b	0.0	0.0	0.0	0.0	0.0	0.0
?a  <actedIn>  ?b  ?b  rdf:type  <wordnet_movie_106613686>  ?a  rdf:type  <wordnet_person_100007846>   => ?a  <directed>  ?b	0	0	0	0	0	77	51	?b	0.0	0.0	0.0	0.0	0.0	0.0
?e  <isLeaderOf>  ?a  ?e  <wasBornIn>  ?b  ?a  rdf:type  <wordnet_location_100027167>  ?b  rdf:type  <wordnet_location_100027167>   => ?a  <hasCapital>  ?b	0.000007475	0.009438414	0.063694268	0.253164557	20	314	79	?a	0.0	0.0	0.0	0.0	0.0	7.0
?e  <isCitizenOf>  ?a  ?e  <isLocatedIn>  ?b  ?a  rdf:type  <wordnet_location_100027167>  ?b  rdf:type  <wordnet_location_100027167>   => ?a  <hasCapital>  ?b	0.000011586	0.014629542	0.073286052	0.077114428	31	423	402	?a	0.0	0.0	0.0	0.0	0.0	11.0
?e  <diedIn>  ?b  ?e  <isCitizenOf>  ?a  ?a  rdf:type  <wordnet_location_100027167>  ?b  rdf:type  <wordnet_location_100027167>   => ?a  <hasCapital>  ?b	0.000016445	0.020764512	0.077738516	0.082397004	44	566	534	?a	0.0	0.0	0.0	0.0	0.0	12.0
?e  <isCitizenOf>  ?a  ?e  <wasBornIn>  ?b  ?a  rdf:type  <wordnet_location_100027167>  ?b  rdf:type  <wordnet_location_100027167>   => ?a  <hasCapital>  ?b	0.000022052	0.027843322	0.055088702	0.05744888	59	1071	1027	?a	0.0	0.0	0.0	0.0	0.0	25.0
?e  <isCitizenOf>  ?a  ?e  <livesIn>  ?b  ?a  rdf:type  <wordnet_location_100027167>  ?b  rdf:type  <wordnet_location_100027167>   => ?a  <hasCapital>  ?b	0.000014203	0.017932987	0.07495069	0.082073434	38	507	463	?a	0.0	0.0	0.0	0.0	0.0	10.0
