"?a  <isKnownFor>  ?b   => ?a  <created>  ?b"	0.00017148	0.0008261	0.03007519	1	0.96992481	0.96992481	0.02917067	8	266	7.7593984962406	7.7593984962406	"?b"
"?a  <created>  ?b   => ?a  <isKnownFor>  ?b"	0.00017148	0.03007519	0.0008261	1	0.9991739	0.9991739	0.00082542	8	9684	7.99339116067741	7.99339116067741	"?b"
"?a  <isLeaderOf>  ?b  ?a  <wasBornIn>  ?b   => ?a  <livesIn>  ?b"	0.00004287	0.00422833	0.4	1	0.6	0.6	0.24	2	5	1.2	1.2	"?a"
"?a  <wasBornIn>  ?b  ?a  <diedIn>  ?b   => ?a  <livesIn>  ?b"	0.0000643	0.00634249	0.04615385	1	0.95384615	0.95384615	0.04402367	3	65	2.86153846153846	2.86153846153846	"?a"
"?a  <worksAt>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <livesIn>  ?b"	0.00004287	0.00422833	0.4	1	0.6	0.6	0.24	2	5	1.2	1.2	"?a"
"?a  <hasAcademicAdvisor>  ?f  ?f  <livesIn>  ?b   => ?a  <livesIn>  ?b"	0.0000643	0.00634249	0.25	1	0.75	0.75	0.1875	3	12	2.25	2.25	"?a"
"?e  <hasAcademicAdvisor>  ?a  ?e  <livesIn>  ?b   => ?a  <livesIn>  ?b"	0.0000643	0.00634249	0.16666667	1	0.83333333	0.83333333	0.13888889	3	18	2.5	2.5	"?a"
"?a  <livesIn>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b"	0.00023578	0.28947368	0.06832298	1	0.93167702	0.93167702	0.06365495	11	161	10.2484472049689	10.2484472049689	"?a"
"?a  <hasChild>  ?f  ?f  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b"	0.00004287	0.00464037	0.14285714	1	0.85714286	0.85714286	0.12244898	2	14	1.71428571428571	1.71428571428571	"?a"
"?e  <hasChild>  ?a  ?e  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b"	0.0000643	0.00696056	0.1	1	0.9	0.9	0.09	3	30	2.7	2.7	"?a"
"?e  <livesIn>  ?a  ?e  <isPoliticianOf>  ?b   => ?a  <isLocatedIn>  ?b"	0.00021434	0.00150286	0.71428571	1	0.28571429	0.28571429	0.20408163	10	14	2.85714285714286	2.85714285714286	"?a"
"?a  <isLocatedIn>  ?f  ?f  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b"	0.00004287	0.00643087	0.00081367	1	0.99918633	0.99918633	0.00081301	2	2458	1.99837266069976	1.99837266069976	"?a"
"?e  <hasChild>  ?b  ?a  <created>  ?e   => ?a  <created>  ?b"	0.00004287	0.00020653	0.22222222	1	0.77777778	0.77777778	0.17283951	2	9	1.55555555555556	1.55555555555556	"?b"
"?a  <hasChild>  ?b  ?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b"	0.00034295	0.00959808	0.8	1	0.2	0.2	0.16	16	20	3.2	3.2	"?b"
"?a  <actedIn>  ?b  ?a  <created>  ?b   => ?a  <produced>  ?b"	0.00042869	0.03246753	0.27777778	0.95238095	0.70833333	0.67460317	0.19675926	20	72	14.1666666666667	14.1666666666667	"?b"
"?a  <actedIn>  ?b  ?a  <directed>  ?b   => ?a  <created>  ?b"	0.00042869	0.00206526	0.33333333	0.95238095	0.65	0.61904762	0.21666667	20	60	13	13	"?b"
"?a  <directed>  ?b   => ?a  <created>  ?b"	0.00475843	0.02292441	0.23692636	0.925	0.74386339	0.68807364	0.17624085	222	937	165.137673425827	165.137673425827	"?b"
"?a  <produced>  ?b  ?a  <directed>  ?b   => ?a  <created>  ?b"	0.00079307	0.00382074	0.56060606	0.925	0.39393939	0.36439394	0.22084481	37	66	14.5757575757576	14.5757575757576	"?b"
"?a  <produced>  ?b  ?a  <created>  ?b   => ?a  <directed>  ?b"	0.00079307	0.03948773	0.44047619	0.925	0.52380952	0.48452381	0.23072562	37	84	19.3809523809524	19.3809523809524	"?b"
"?a  <actedIn>  ?b  ?a  <directed>  ?b   => ?a  <produced>  ?b"	0.00025721	0.01948052	0.2	0.92307692	0.78333333	0.72307692	0.15666667	12	60	9.4	9.4	"?b"
"?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b"	0.02083423	0.58308338	0.58308338	0.91958373	0.36592681	0.33650034	0.21336585	972	1667	355.680863827235	355.680863827235	"?b"
"?a  <hasChild>  ?b  ?b  <hasChild>  ?a   => ?a  <isMarriedTo>  ?b"	0.00023578	0.00659868	0.78571429	0.91666667	0.14285714	0.13095238	0.1122449	11	14	1.57142857142857	1.57142857142857	"?b"
"?a  <produced>  ?b  ?a  <actedIn>  ?b   => ?a  <created>  ?b"	0.00042869	0.00206526	0.33333333	0.90909091	0.63333333	0.57575758	0.21111111	20	60	12.6666666666667	12.6666666666667	"?b"
"?a  <created>  ?b  ?a  <directed>  ?b   => ?a  <produced>  ?b"	0.00079307	0.06006494	0.16666667	0.90243902	0.81531532	0.73577236	0.13588589	37	222	30.1666666666667	30.1666666666667	"?b"
"?b  <hasChild>  ?a  ?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b"	0.00034295	0.00959808	0.53333333	0.88888889	0.4	0.35555556	0.21333333	16	30	6.4	6.4	"?b"
"?a  <created>  ?b   => ?a  <directed>  ?b"	0.00475843	0.23692636	0.02292441	0.88095238	0.9739777	0.85802797	0.02232787	222	9684	216.223048327138	216.223048327138	"?b"
"?a  <actedIn>  ?b  ?a  <created>  ?b   => ?a  <directed>  ?b"	0.00042869	0.02134472	0.27777778	0.86956522	0.68055556	0.59178744	0.18904321	20	72	13.6111111111111	13.6111111111111	"?b"
"?a  <produced>  ?b  ?a  <actedIn>  ?b   => ?a  <directed>  ?b"	0.00025721	0.01280683	0.2	0.85714286	0.76666667	0.65714286	0.15333333	12	60	9.2	9.2	"?b"
"?a  <diedIn>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b"	0.00023578	0.28947368	0.02600473	0.84615385	0.96926714	0.82014912	0.02520553	11	423	10.661938534279	10.661938534279	"?a"
"?e  <diedIn>  ?a  ?e  <isPoliticianOf>  ?b   => ?a  <isLocatedIn>  ?b"	0.00023578	0.00165314	0.6875	0.84615385	0.1875	0.15865385	0.12890625	11	16	2.0625	2.0625	"?a"
